אייקון,יום,תאריך,שם המקום,קטגוריות לסינון,עדיפות,מיקום במפה,מזג אוויר אידיאלי,תיאור ומה ניתן לעשות,תחבורה והגעה ליעד,אזור במסלול,טווח שעות מומלץ,זמן מוערך,ימי סגירה / הערות חשובות,עלות משוערת (₪ ו-¥),איך ומתי להזמין,קישור,משך נסיעה מהיעד הקודם,ניווט גוגל מפות (מהיעד הקודם),סיכון,מתקנים ודרישות,מה צריך להכין מראש


♨️,02 (רביעי),14/10/2026,Natural hot spring Heiwajima,ספא ומרחצאות | אונסן | לינה,⭐⭐⭐⭐⭐ חובה,"1 Chome-1-1 Heiwajima, Ota City, Tokyo 143-0006, Japan",הכל (מקורה),"מרחצאות הייוואג'ימה: מקלחת, טבילה ושינה עד הבוקר אחרי טיסה ארוכה וגט-לג ראשוני.

💡 רחצה באונסן היא בעירום מלא ומופרדת מגדרית. השתמש במגבת הקטנה (שמסופקת במקום) כדי לכסות את אזור החלציים בזמן ההליכה מחוץ למים, והנח אותה על הראש או בצד בעת הכניסה למים.

💡 המלצת רכישה: מומלץ להזמין ספציפית באתר הרשמי כדי להבטיח את חבילת ה-Welcome Course שכוללת את שאטל הלילה. שאר האפליקציות מוכרות כרטיסי כניסה רגילים שלא מבטיחים מקום בשאטל!

[בוקר רגוע: קום בנחת, תפילה, ארוחת בוקר קלה מחטיפים/טונה שהבאת, יציאה ב-08:45 לאחר דעיכת עומס הרכבות].

🍽️ פתרון תזונה יומי: בבוקר מזון מהארץ, בערב במסעדת חנה'ס פלייס.

🥤 שילוב חלבון: שייק חלבון בבוקר לאחר הטבילה באונסן.

[רמת עומס: 🟢 קל]

💡 Plan B: אם עמוס/סגור — קיצור השהייה או מעבר לאזור המנוחה המקורה של המתחם.

🔍 לסינון: מרחצאות / ספא","שאטל לילה חינמי שיוצא ישירות מטרמינל 3 (רציף אוטובוסים ייעודי) בסמוך לנחיתה.

[הנחיית נסיעה: אוטובוס לילה חינמי כלול בהזמנה]",טוקיו - הגעה,01:00 - 08:45,לילה שלם,,"100 ₪ (~5,400 ¥)","🚨 חובה להזמין מראש: ההרשמה נפתחת בדיוק חודש מראש - בתאריך 14/09/2026. (יש להזמין כניסה + שאטל).
⏰ התראה: קבע/י תזכורת ליום פתיחת ההזמנות 14/09/2026 + תזכורת הכנה יום לפני (13/09/2026) — לוודא אמצעי תשלום, פרטים וזמינות.","רשמי: https://www.heiwajima-onsen.jp/en/
Klook: https://www.klook.com/search/result/?query=Natural%20hot%20spring%20Heiwajima
Trip: https://www.trip.com/things-to-do/list?pagetype=city&keyword=Natural%20hot%20spring%20Heiwajima&kwdfrom=srch&ext-searchpage=1
KKday: https://www.kkday.com/en/product/productlist/Natural%20hot%20spring%20Heiwajima
GetYourGuide: https://www.getyourguide.com/s?q=Natural+hot+spring+Heiwajima
Pelago: https://www.pelago.co/en-US/search/?keyword=Natural%20hot%20spring%20Heiwajima",≈ 20 דקות (5 דקות לשאטל + 15 נסיעה),https://www.google.com/maps/dir/?api=1&origin=Haneda+Airport+Terminal+3&destination=Natural+hot+spring+Heiwajima,,⚠️ שירותים,✓ מזומן לחטיפים | ✓ בגדים להחלפה לבוקר | ✓ Power Bank וכבל

🏰,02 (רביעי),14/10/2026,Imperial Palace Tokyo,תרבות והיסטוריה | אתר תיירות,⭐⭐⭐ אם יש זמן,"1-1 Chiyoda, Chiyoda City, Tokyo",☀️ שמש / ☁️ מעונן,"ארמון הקיסר (נקי לחלוטין מסמלים דתיים - חילוני):

• הליכת בוקר רגועה להתאוששות מול חומות הארמון והגשרים העתיקים. סביבה פתוחה ונטולת לחץ. העוגן הראשון של הבוקר.

💡 Plan B גשם:
אם יורד גשם כבד, דלג על ההליכה הציבורית וסע ישירות למתחם הקניות המקורה באיקבוקורו.

[רמת עומס: 🟢 קל]

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: פארק / היסטוריה / מקדש/ארמון","מ-Heiwajima קח קו Keikyu ל-Shinagawa ומשם החלף לקו 🟢 JR Yamanote לתחנת Tokyo.

[יציאה מומלצת: Marunouchi Central Exit]

[הנחיית רכבת: ✅ כרטיס IC פיזי].",טוקיו - מרכז,09:45 - 11:15,שעה וחצי,,חינם,🚶‍♂️ אין צורך בהזמנה מראש: סיור ציבורי חופשי.,https://sankan.kunaicho.go.jp/english/,≈ 45 דקות ברכבת והליכה,https://www.google.com/maps/dir/?api=1&origin=Natural+hot+spring+Heiwajima&destination=Imperial+Palace+Tokyo,,⚠️ שירותים,✓ נעלי הליכה נוחות | ✓ כרטיס IC טעון | ✓ משקפי שמש | ✓ Power Bank וכבל

🎢,02 (רביעי),14/10/2026,Thunder Dolphin (Tokyo Dome),אטרקציה | רכבת הרים,⭐⭐⭐⭐⭐ חובה,"1 Chome-3-61 Koraku, Bunkyo City, Tokyo",☀️ שמש / ☁️ מעונן (ללא גשם),"רכבת ההרים האגדית Thunder Dolphin:

• עוברת במהירות מטורפת דרך חור מובנה בתוך בניין ודרך מרכז גלגל ענק! נרכשת במקום בקופה, כך שאם יש לך ג'ט לג אפשר פשוט לוותר בלי לאבד כסף.

• ממשיכים ישירות מארמון הקיסר צפונה! 

💡 Plan B גשם/רוח כבדה/עייפות:
במקרה של עייפות קיצונית או גשם שוטף הרכבת נסגרת זמנית - הגיבוי הוא כניסה למשחקי הוידאו במתחם המקורה LaQua או חזרה למנוחה.

🍫 שילוב חלבון: אכילת חטיף חלבון בזמן ההמתנה בתור לרכבת ההרים.

[רמת עומס: 🔴 גבוה]

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🔍 לסינון: פארק שעשועים / אטרקציה","מתחנת Tokyo הסמוכה קח קו תחתית ישיר (Tokyo Metro Marunouchi Line) לתחנת Korakuen.",טוקיו - דום סיטי,11:30 - 13:00,שעה וחצי (כולל תור),,"36 ₪ (~1,900 ¥)",🚶‍♂️ תשלום במקום: בקופות האטרקציה אין צורך בהזמנה מראש.,https://www.tokyo-dome.co.jp/en/tourists/attractions/,≈ 15 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=Imperial+Palace+Tokyo&destination=Thunder+Dolphin+Tokyo,,⚠️ שירותים,✓ בגדים מתאימים וכיסים נסגרים בריצ'רץ' (לאקסטרים) | ✓ Power Bank וכבל

🦉,02 (רביעי),14/10/2026,Animate Ikebukuro Flagship Store,קניות | אנימה ותרבות פופ,⭐⭐⭐⭐⭐ חובה,"1 Chome-20-7 Higashiikebukuro, Toshima City, Tokyo",הכל (מקורה),"חנות האנימה, המנגה והמרצ'נדייז הגדולה בעולם:

• 10 קומות מלאות בציוד פופ, גאדג'טים ותערוכות. חוצץ זמן מעולה וללא התחייבות אחרי האקסטרים של הרכבת.

[רמת עומס יומית: 🟢 קל].

💡 Plan B: אם עמוס/סגור — מעבר לחנות/קומביני סמוך או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: קניות / אטרקציה","קו Marunouchi מתחנת Korakuen אל תחנת Ikebukuro. [יציאה: East Exit]",טוקיו - איקבוקורו,13:15 - 14:45,שעה וחצי,,"כניסה: 0₪ | קניות (אופציונלי): 185 ₪ (~10,000 ¥)",🚶‍♂️ כניסה חופשית.,https://www.animate.co.jp/,≈ 15 דקות בתחתית,https://www.google.com/maps/dir/?api=1&origin=Thunder+Dolphin+Tokyo&destination=Animate+Ikebukuro,,⚠️ שירותים,✓ כרטיס IC | ✓ שקית בד לקניות | ✓ Power Bank וכבל

🧸,02 (רביעי),14/10/2026,Gashapon Department Store Ikebukuro,קניות | תחביבים וגאדג'טים,⭐⭐⭐⭐ מומלץ,"3 Chome-1-1 Higashiikebukuro, Toshima City, Tokyo",הכל (מקורה),"חנות הגשפון הרשמית:

• מעל 3,000 מכונות קפסולה בתוך Sunshine City. תעסוקה כיפית, קלילה שלא מצריכה מאמץ.

[רמת עומס: 🟢 קל]

💡 Plan B: אם עמוס/סגור — מעבר לחנות/קומביני סמוך או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: קניות / אטרקציה",הליכה קצרה מכלבו Animate אל תוך קניון סאנשיין סיטי קומה 3.,טוקיו - איקבוקורו,14:45 - 15:30,45 דקות,,"כניסה: 0₪ | קניות (אופציונלי): כ-55 ₪ (~3,000 ¥)",🚶‍♂️ תשלום במקום: המכונות מופעלות עם מטבעות 100 ין.,https://bandainamco-am.co.jp/,≈ 10 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Animate+Ikebukuro&destination=Sunshine+City+Ikebukuro,,⚠️ שירותים,✓ שטרות של 1000¥ לפריטה למטבעות | ✓ Power Bank וכבל

🏙️,02 (רביעי),14/10/2026,Tokyo Metropolitan Government Building,אטרקציה | תצפית עירונית,⭐⭐⭐⭐ מומלץ,"Shinjuku City, Tokyo",☀️ ראות טובה / 🌃 לילה,"בניין הממשל המטרופוליטני של טוקיו:
• יורדים מאיקבוקורו ישר לשינג'וקו! תצפית חינמית מהקומה ה-45. נוף מדהים לכל טוקיו סוגר לך את החור לקראת שקיעה בחינם.

[רמת עומס: 🟢 קל]

💡 Plan B גשם/ערפל: אם הגג/מרפסת סגורים — התצפית מתבצעת מהקומה המקורה בבטחה.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: תצפית / אטרקציה","נסיעה בקו JR Yamanote או Fukutoshin מתחנת Ikebukuro אל Shinjuku, והליכה קצרה ליציאה המערבית.",טוקיו - שינג'וקו,16:15 - 17:30,שעה ורבע,,חינם,🚶‍♂️ אין צורך להזמין מראש: הכניסה חופשית ויש שילוט במקום.,https://www.metro.tokyo.lg.jp/english/offices/observat.html,≈ 25 דקות רכבת,https://www.google.com/maps/dir/?api=1&origin=Sunshine+City+Ikebukuro&destination=Tokyo+Metropolitan+Government+Building,,⚠️ שירותים,✓ מצלמה

🏮,02 (רביעי),14/10/2026,Omoide Yokocho & Kabukicho,אטרקציה עירונית | חיי לילה,⭐⭐⭐⭐⭐ חובה,"1 Chome-2 Nishishinjuku, Shinjuku City, Tokyo",🌃 לילה,"שינג'וקו סייברפאנק בלילה:

• סיור בסמטת Omoide Yokocho ומעבר לקבוקיצ'ו לצפייה בשלט גודזילה הענק. (העוגן החותם של היום).

⚠️ אזהרה בטיחותית: לא ללכת בשום אופן אחרי יחצני רחוב המציעים מועדונים!

[רמת עומס: 🟡 בינוני]

💡 Plan B: אם עמוס/סגור — מעבר לאטרקציה מקורה סמוכה או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: אטרקציה / חיי לילה","הליכה רגלית קצרה ממתחם בניין הממשל חזרה אל מרכז התחנה והאזור התוסס של שינג'וקו.",טוקיו - שינג'וקו,17:45 - 19:15,שעה וחצי,,חינם,🚶‍♂️ אין צורך בהזמנה מראש: סיור רחוב חופשי.,https://www.japan-guide.com/e/e3011.html,≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Tokyo+Metropolitan+Government+Building&destination=Omoide+Yokocho,,⚠️ שירותים,✓ עירנות (אזור חיי לילה) | ✓ Power Bank וכבל

🏠,02 (רביעי),14/10/2026,🏠 Casa Central (Tokyo Apartment),לינה | דירה,⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo",הכל (מקורה),"הגעה לדירה: בסיס הלינה הקבוע שלך בטוקיו.

• התארגנות בחדר, פריקת ציוד, מקלחת ומנוחה מלאה לריפוי הגט-לג.

🍽️ פתרון תזונה לערב זה: אכילת הסנדוויצ'ים והמזון הכשר שהבאת איתך מהארץ! חוסך זמן וכסף ביום הראשון.

🥤 שילוב חלבון: שייק חלבון בערב כהשלמה.

[רמת עומס: 🟢 קל]

💡 Plan B: אין צורך — זו נקודת לינה/מנוחה קבועה שכבר הוזמנה.

🔍 לסינון: לינה","מתחנת Shinjuku קח קו JR Yamanote או Saikyo לתחנת Shinagawa והחלף ל-Keihin-Tohoku לתחנת Omori.

[יציאה מומלצת: Omori Station יציאה צפונית North Exit]

[הנחיית רכבת: ✅ כרטיס IC]",טוקיו - אומורי,20:00 - 08:30,לינה,,"960.42 ₪ (~50,970 ¥)",✅ כבר הוזמן. צ'ק-אין כבר מ-16:00.,https://www.booking.com/,≈ 35 דקות ברכבות,https://www.google.com/maps/dir/?api=1&origin=Omoide+Yokocho&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ קודי צ'ק-אין לדירה | ✓ אוכל מהארץ לארוחת ערב




👓,03 (חמישי),15/10/2026,Eyecity / JINS / OWNDAYS,לוגיסטיקה וקניות | רפואי ואופטיקה,⭐⭐⭐⭐⭐ חובה,"JINS: 31-1 Udagawacho, Shibuya
OWNDAYS: 21-1 Udagawacho, Shibuya
Eyecity: 1-12-1 Dogenzaka, Shibuya",הכל (מקורה),"קניית העדשות וקניית המשקפיים במרוכז: תבחר שם במקום אם לעשות רק אחד מהם או את שניהם!
• עדשות מגע: בדיקה והזמנה מראש (למניעת חוסר מלאי). 

⚠️ תמיסת פקק אדום מחייבת השריה של 6 שעות! טיפטוף ישיר יגרום לצריבה עזה.

• משקפי ראייה: מסירת מרשם מהארץ ושדרוג מומלץ לעדשות חוסמות אור כחול (PC). ניתן לאסוף בהמשך היום.

[בוקר רגוע: קום, התפלל, אכול, וצא ב-09:15 לאחר שעות העומס של הבוקר].

🍽️ פתרון תזונה יומי: ארוחת בוקר קלה בדירה, וקניות בערב בדון קיחוטה לבישול.
🥤 שילוב חלבון: שייק חלבון בבוקר לפני היציאה.

[רמת עומס: 🟡 בינוני]
💡 Plan B: אם הדלפק עמוס, ניתן לדחות את קניית המשקפיים לזמן פנוי אחר, אך את העדשות חובה לבצע.","קו Keihin-Tohoku מתחנת Omori לשינגאווה, והחלפה לקו 🟢 JR Yamanote לתחנת Shibuya.",טוקיו - שיבויה,10:00 - 11:00,שעה,⚠️ בדיקה מהירה לאופטיקה.,784.97 ₪ (הערכה לשניהם יחד),🚶‍♂️ תשלום במקום. הצג דרכון פיזי לפטור ממס.,"JINS (אתר רשמי) https://www.jins.com/jp/
OWNDAYS (אתר רשמי) https://www.owndays.com/jp/ja/
Eyecity (אתר רשמי) https://www.eyecity.jp/",≈ 35 דקות ברכבת מאומורי,https://www.google.com/maps/dir/4-26-7+Chuo+Ota+City+Tokyo/JINS+Shibuya+Tokyo/OWNDAYS+Shibuya+Tokyo/Eyecity+Shibuya+Tokyo/,,⚠️ אפליקציית תרגום,✓ טלפון לתרגום | ✓ מרשם משקפיים | ✓ דרכון (Tax Free) | ✓ Power Bank וכבל

👟,03 (חמישי),15/10/2026,SIDAS FITTING LAB (Minami-Aoyama),לוגיסטיקה | רפואי,⭐⭐⭐⭐⭐ חובה,"1F Kokko Real Estate Minami-Aoyama Bldg, 2-27-7 Minami-Aoyama, Minato City, Tokyo 107-0062",הכל (מקורה),"מעבדת התאמת מדרסים אורתופדיים (SIDAS):

• מעבדה רפואית מתקדמת להתאמה אישית של מדרסי ואקום להגנה על הגב.
• הוזז ליום 3 כדי שיהיה להם זמן לייצר את זה עד לאיסוף ביום 7!

[מרווח ביטחון: הגעה 10 דקות לפני הזמן!].

[רמת עומס: 🟡 בינוני]

💡 Plan B: אם הדלפק סגור/עמוס — ביצוע הפעולה בקומביני או דלפק חלופי סמוך.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: לוגיסטיקה / רפואי","נסיעה קצרה בקו תחתית Ginza מ-Shibuya לתחנת Omotesando.

[יציאה מומלצת: תחנת Omotesando יציאה A4]",טוקיו - אאויאמה,11:15 - 12:30,שעה ורבע,,"כ-550 ₪ (~30,000 ¥)","🚨 חובה להזמין מראש: תור מוגדר מראש באתר הרשמי (כחודש מראש, החל מ-15/09/2026). ⏰ התראה: קבע תזכורת להזמנה ב-15/09/2026 + תזכורת הכנה יום לפני (14/09/2026) — לוודא אמצעי תשלום, פרטים וזמינות.
 וזמינות).",https://shop.sidas.co.jp/fitting-lab/eng/,≈ 15 דקות (תחתית והליכה קצרה),https://www.google.com/maps/dir/?api=1&origin=Eye+City+Shibuya&destination=1F+Kokko+Real+Estate+Minami-Aoyama+Bldg,,⚠️ שירותים,✓ גרביים נוחות למדידה | ✓ הגעה 10 דק' לפני הזמן! | ✓ Power Bank וכבל

🌳,03 (חמישי),15/10/2026,Yoyogi Park & Takeshita St,טבע ופארקים | פארק עירוני,⭐⭐⭐⭐ מומלץ,"1 Chome-19 Jingumae, Shibuya City, Tokyo",☀️ שמש / ☁️ מעונן,"פארק יויוגי ורחוב טקשיטה האייקוני:

• לאחר סיום ההזמנות הקריטיות, סיור רגוע בפארק (נקי מסמלי דת) וברחוב אופנת הרחוב המטורף של הרג'וקו.

💡 Plan B עייפות:
אם צפוף מדי בטקשיטה, חתוך מיד לרחוב הצידי הרגוע Takeshita Backstreets.

[רמת עומס: 🟢 קל]

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: פארק / טבע",הליכה חזרה פנימה אל אזור הרג'וקו.,טוקיו - הרג'וקו,12:45 - 13:45,שעה,,חינם,🚶‍♂️ אין צורך בהזמנה מראש.,https://www.japan-guide.com/e/e3006.html,≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=1F+Kokko+Real+Estate+Minami-Aoyama+Bldg&destination=Takeshita+Street+Tokyo,,⚠️ שירותים,✓ מזומן קטן לחטיפי רחוב | ✓ Power Bank וכבל

🧥,03 (חמישי),15/10/2026,2nd STREET & Galaxy Harajuku,קניות | אופנה וטכנולוגיה,⭐⭐⭐ אם יש זמן,"4 Chome-26-4 Jingumae, Shibuya City, Tokyo 150-0001",הכל (מקורה),"אופנת וינטג' וטכנולוגיה:

• חנות מעולה למציאת בגדי מותגים במצב חדש.
• גלקסי הרג'וקו: התנסויות מציאות מדומה (VR) בחינם.

[רמת עומס: 🟡 בינוני]

💡 Plan B: אם עמוס/סגור — מעבר לחנות/קומביני סמוך או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: קניות",הליכה קצרה של 5 דקות מרחוב טקשיטה פנימה.,טוקיו - הרג'וקו,13:45 - 14:45,שעה,,"כניסה: 0₪ | קניות (אופציונלי): כ-185 ₪ (~10,000 ¥)",🚶‍♂️ הצג דרכון פיזי בקופה לפטור ממס (Tax-Free).,https://www.2ndstreet.jp/,≈ 5 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Takeshita+Street+Tokyo&destination=Galaxy+Harajuku,,⚠️ שירותים,✓ דרכון פיזי | ✓ Power Bank וכבל

🚶,03 (חמישי),15/10/2026,Shibuya Crossing & Hikarie,אטרקציה עירונית | נוף עירוני,⭐⭐⭐⭐⭐ חובה,"2 Chome-2-1 Dogenzaka, Shibuya City, Tokyo",☀️ שמש / ☁️ מעונן,"מעבר החצייה המפורסם בשיבויה ומתחם היקארי:

• צעידה חווייתית בתוך נחיל האדם, צילום האורות ושלטי הניאון הענקיים.
• עלייה לקומה ה-11 בהיקארי ללובי השמיים החינמי לתצפת על הצומת.

🍫 שילוב חלבון: אכילת חטיף חלבון באזור המנוחה בהיקארי.

[רמת עומס: 🟡 בינוני]

💡 Plan B: אם עמוס/סגור — מעבר לאטרקציה מקורה סמוכה או קיצור הביקור.

🍽️ פתרון תזונה: מכוסה בתכנון היומי — אוכל כשר שהוכן/נרכש מראש או חטיפים מהתיק.

🔍 לסינון: אטרקציה / תצפית",הליכה דרומה מאזור הרג'וקו למטה אל מרכז שיבויה (כ-15 דקות הליכה).,טוקיו - שיבויה,15:00 - 16:00,שעה,,חינם,🚶‍♂️ אין צורך בהזמנה מראש.,https://www.japan-guide.com/e/e3007.html,≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Galaxy+Harajuku&destination=Shibuya+Crossing,,⚠️ שירותים,✓ מצלמה מוכנה | ✓ Power Bank וכבל

