אייקון,יום,תאריך,שם המקום,עדיפות,מיקום במפה,מזג אוויר אידיאלי,תיאור ומה ניתן לעשות,תחבורה והגעה ליעד,אזור במסלול,טווח שעות מומלץ,זמן מוערך,ימי סגירה / הערות חשובות,עלות משוערת (₪ ו-¥),איך ומתי להזמין,קישור,משך נסיעה מהיעד הקודם,ניווט גוגל מפות (מהיעד הקודם),סיכון,מתקנים ודרישות,מה צריך להכין מראש
🤖,03 (חמישי),15/10/2026,Miraikan (Museum of Emerging Science),⭐⭐⭐ אם יש זמן,"2 Chome-3-6 Aomi, Koto City, Tokyo",הכל (מקורה),"מיראיקאן - מוזיאון החדשנות והמדע:

• רובוטים מתקדמים, תצוגות אנדרואידים חיות ובינה מלאכותית.

💡 Plan B גשם:
מושלם ומקורה לחלוטין.","רכבת מ-Shinagawa/Tennozu אל מתחם אודאיבה (תחנת Tokyo Teleport).
[יציאה מומלצת: יציאה B]
[הנחיית רכבת: ✅ כרטיס IC]",טוקיו - אודאיבה,12:30 - 15:00,שעתיים וחצי,,"18 ₪ (~1,000 ¥)",**🚶‍♂️ אין צורך להזמין מראש: קניית כרטיס בקופה במקום.**,https://www.miraikan.jst.go.jp/en/,≈ 40 דקות הליכה ורכבת Rinkai,https://www.google.com/maps/dir/?api=1&origin=STREET+KART+Tokyo+Bay&destination=Miraikan+Tokyo,,⚠️ שירותים,✓ נעלי הליכה | ✓ מזומן / כרטיס אשראי
💡,03 (חמישי),15/10/2026,Panasonic Center Tokyo,⭐⭐⭐ אם יש זמן,"Ariake, Koto City, Tokyo",הכל (מקורה),"אולם תצוגה טכנולוגי מתקדם של פנאסוניק:
• תצוגות מרהיבות של פיתוחי עתיד, פתרונות בית חכם (IoT) ומערכות אקולוגיות. מעולה לקבלת השראה.","הליכה קצרה מ-Miraikan או נסיעה של 2 תחנות ברכבת העילית לתחנת Ariake.
[יציאה מומלצת: תחנת Ariake יציאה מערבית West Exit]",טוקיו - אודאיבה,15:15 - 16:45,שעה וחצי,שעות משתנות בחגים,חינם,**🚶‍♂️ אין צורך בהזמנה מראש: כניסה חופשית לתצוגה.**,https://holdings.panasonic/global/corporate/center-tokyo.html,≈ 15 דקות ב-Yurikamome,https://www.google.com/maps/dir/?api=1&origin=Miraikan+Tokyo&destination=Panasonic+Center+Tokyo,,⚠️ שירותים,✓ טלפון להורדת קודי QR לתצוגות
☕,03 (חמישי),15/10/2026,Maid Cafe Experience (@home cafe Flagship),⭐⭐⭐⭐ מומלץ,"1-11-4 Sotokanda, Chiyoda City, Tokyo 101-0021",הכל (מקורה),"חווית מייד קפה באקיהברה (@home cafe Flagship):
• בית הקפה המקצועי והטוב ביותר ביפן. תרבות האוטאקו במיטבה, הגשת שתייה, טקסי הפעלת קסמים על האוכל (חילוני לחלוטין).","נסיעה ברכבת מאזור אודאיבה ישירות לתחנת Akihabara.
[יציאה מומלצת: Electric Town Gate]
[הנחיית רכבת: ✅ כרטיס IC]",טוקיו - אקיהברה,17:00 - 18:00,שעה,,"כ-60 ₪ (~3,200 ¥)",**🚶‍♂️ אין צורך בהזמנה מראש: מגיעים ונרשמים בדלפק הכניסה.**,https://www.cafe-athome.com/en/,≈ 40 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=Panasonic+Center+Tokyo&destination=1-11-4+Sotokanda+Chiyoda+City+Tokyo,,⚠️ שירותים,✓ סמארטפון לצילום (מותר בתנאים מסוימים)
💻,03 (חמישי),15/10/2026,Sofmap AKIBA & Janpara,⭐⭐⭐⭐⭐ חובה,"4 Chome-1-1 Sotokanda, Chiyoda City, Tokyo 101-0021, Japan",הכל (מקורה),"שופינג טכנולוגי באקיהברה:
• זמן המוקדש לשופינג חומרה ורכיבי PC קצה, כרטיסי מסך RTX וגאדג'טים יד-שנייה.

[רמת עומס: 🔴 גבוה - הליכה מרובה בין חנויות].",הליכה קצרה ברחובות האחוריים של אקיהברה.,טוקיו - אקיהברה,18:00 - 19:30,שעה וחצי,,לפי קנייה,**🚶‍♂️ אין צורך בהזמנה מראש: הצג דרכון בקופה לפטור ממס (Tax-Free).**,https://www.sofmap.com/,≈ 5 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=1-11-4+Sotokanda+Chiyoda+City+Tokyo&destination=Sofmap+AKIBA,,⚠️ שירותים,✓ דרכון פיזי (חובה ל-Tax Free) | ✓ כרטיס אשראי
🕹️,03 (חמישי),15/10/2026,GiGO Akihabara 3,⭐⭐⭐⭐ מומלץ,"1 Chome-1-11 Sotokanda, Chiyoda City, Tokyo 101-0021, Japan",הכל (מקורה),"בניין GiGO:
• מתחמי ארקייד, סימולטורים ומנופי בובות ענקיים באקיהברה.",הליכה קצרה על הרחוב הראשי של אקיהברה.,טוקיו - אקיהברה,19:30 - 21:00,שעה וחצי,,לפי קנייה,**🚶‍♂️ הפעלת מכונות באמצעות מטבעות 100 ין.**,https://tempo.gendago.jp/,≈ 5 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Sofmap+AKIBA&destination=GiGO+Akihabara+3,,⚠️ שירותים,✓ מטבעות 100 ין או שטרות לפריטה
🏠,03 (חמישי),15/10/2026,🏠 Casa Central (Tokyo),⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo",הכל (מקורה),"חזרה לדירה למנוחה, אריזה קלה ולינה.","רכבת ישירה בקו JR Keihin-Tohoku מתחנת Akihabara לתחנת Omori.
[יציאה מומלצת: North Exit]",טוקיו - אומורי,21:15 - 07:30,לינה,,שולם,**✅ כבר הוזמן (בסיס קבוע בטוקיו).**,https://www.booking.com/,≈ 35 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=GiGO+Akihabara+3&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ מנוחה לקראת מחר
✨,04 (שישי),16/10/2026,teamLab Borderless,⭐⭐⭐⭐⭐ חובה,"1 Chome-2-4 Azabudai, Minato City, Tokyo 106-0041, Japan",הכל (מקורה),"מוזיאון האמנות הדיגיטלית teamLab Borderless (Azabudai Hills):
• מבוך ענק, מהפנט ועתידני של אורות דינמיים ללא מסלול מוגדר.

[רמת עומס: 🟡 בינוני].","קו JR Keihin-Tohoku ל-Shimbashi, והחלפה לקו Hibiya לתחנת Kamiyacho.
[יציאה מומלצת: תחנת Kamiyacho יציאה 5 - מחברת ישירות למתחם]
[הנחיית רכבת: ✅ כרטיס IC]",טוקיו - המפרץ/מינאטו,09:30 - 12:00,שעתיים וחצי,,"96 ₪ (~5,200 ¥)",**🚨 חובה להזמין מראש: ב-Klook לפחות 6 שבועות מראש (אחרת אוזל)!**,https://www.klook.com/,≈ 40 דקות רכבת,https://www.google.com/maps/dir/?api=1&origin=4-26-7+Chuo+Ota+City+Tokyo&destination=teamLab+Borderless+Tokyo,,⚠️ שירותים,✓ נעליים נוחות למבוך | ✓ סוללה ניידת טעונה ב-100%
🗼,04 (שישי),16/10/2026,RED° TOKYO TOWER,⭐⭐⭐⭐ מומלץ,"4 Chome-2-8 Shibakoen, Minato City, Tokyo 105-0011, Japan",הכל (מקורה),"פארק שעשועים ענקי בתוך מגדל טוקיו:
• מתחמי e-sports, משחקי מציאות מדומה והליכוני VR אקטיביים.

💡 Plan B לחץ זמן:
אם יש לחץ זמן לקראת שבת, קצר את השהות פה בחצי שעה.",הליכה רגלית קצרה של כ-12 דקות ממתחם Azabudai Hills אל מגדל טוקיו.,טוקיו - המפרץ/מינאטו,12:15 - 14:15,שעתיים,,"60 ₪ (~3,200 ¥)",**🚨 מומלץ להזמין מראש: ב-Klook כחודש מראש לשריין כניסה מהירה.**,https://www.klook.com/,≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=teamLab+Borderless+Tokyo&destination=RED+TOKYO+TOWER,,⚠️ שירותים,✓ בגדים נוחים לתנועה (למתקני ה-VR)
🏠,04 (שישי),16/10/2026,🏠 Casa Central (Tokyo),⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo 143-0024, Japan",הכל (מקורה),"התארגנות מוקדמת לשבת:
• חזרה לדירה לביצוע הכנות טכנולוגיות: נטרול חיישני תאורה, הדבקת מתג מקרר וניתוק Washlet.
• התארגנות בנחת לפני כניסת שבת המוקדמת.","הליכה קצרה לתחנת Akabanebashi, נסיעה ל-Daimon והחלפה לקו Keihin-Tohoku לתחנת Omori.
[יציאה מומלצת: North Exit]",טוקיו - אומורי,15:00 - 16:30,התארגנות לשבת,,שולם,**✅ כבר הוזמן. כניסת שבת באזור 16:45!**,https://www.booking.com/,≈ 35 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=RED+TOKYO+TOWER&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ דבק נייר/מסקינטייפ לכפתורים | ✓ הכנת חגורת שבת למפתח
🕍,04 (שישי),16/10/2026,Chabad Tokyo Japan,⭐⭐⭐⭐⭐ חובה,"1 Chome-5-23 Sanno, Ota City, Tokyo 143-0023, Japan",הכל,"תפילות וקבלת שבת בבית חב'ד טוקיו:
• מינגלינג ומפגש חברתי עם מטיילים מכל העולם באווירה קהילתית.

[מרווח ביטחון: 15 דקות הליכה מהדירה].","הליכה רגלית בלבד!
🚨 איסור נסיעה וטלטול חפצים מחוץ לעירוב — השתמש בחגורת שבת למפתח.",טוקיו - יהדות/כשר (אוֹמוֹרִי),17:00 - 19:30,זמני שבת,,"תפילה: חינם | סעודה: כ-180 ₪ (~9,700 ¥)",**🚨 חובה להזמין מראש: לסעודת שבת באתר חב'ד. (תפילה - 🚶‍♂️ חינם).**,https://chabad.jp/,≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=4-26-7+Chuo+Ota+City+Tokyo&destination=Chabad+Tokyo+Japan,,⚠️ שירותים,✓ ביגוד מכבד | ✓ חגורת שבת למפתח
🏠,04 (שישי),16/10/2026,🏠 Casa Central (Tokyo),⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo 143-0024, Japan",הכל (מקורה),"חזרה רגלית לדירה:
• סעודת שבת אישית כשרה מהמצרכים שקנית (או חזרה מחב""ד). מנוחה ושינה בנחת.",הליכה רגלית נוחה מבית חב'ד בחזרה לדירה.,טוקיו - אומורי,19:30 - 07:30,לינה,,שולם,**✅ כבר הוזמן ברישום הרגיל.**,https://www.booking.com/,≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Chabad+Tokyo+Japan&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ שעון מעורר מכני / כוון מראש בטלפון
🕍,05 (שבת),17/10/2026,Chabad Lubavitch / Rest Day,⭐⭐⭐⭐⭐ חובה,"1 Chome-5-23 Sanno, Ota City, Tokyo 143-0023, Japan",הכל,"יום מנוחה מוחלט (שבת קודש):
• תפילת שחרית, קידוש קהילתי חם ושיחות חברתיות פתוחות.",הליכה רגלית קצרה והולמת הלוך וחזור מהדירה.,טוקיו - יהדות/כשר (אוֹמוֹרִי),זמני שבת,כל היום,,"תפילה: חינם | סעודה: כ-150 ₪ (~8,100 ¥)",**🚨 חובה להזמין מראש: סעודת שבת דרך האתר. (תפילה - 🚶‍♂️ חופשית).**,https://chabad.jp/,≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=4-26-7+Chuo+Ota+City+Tokyo&destination=Chabad+Tokyo+Japan,,⚠️ שירותים,✓ חגורת שבת מותאמת למפתח
🌳,05 (שבת),17/10/2026,Omori Furusato-no-Hamabe Park,⭐⭐⭐ אם יש זמן,"2 Chome-2-1 Furusatonohamabekoen, Ota City, Tokyo 143-0006, Japan",☀️ שמש / ☁️ מעונן,"הליכת שבת פסטורלית אחר הצהריים:
• סיור רגלי מרענן בפארק ציבורי הכולל חוף ים מלאכותי ומדשאות. ללא נסיעות וללא חילול שבת.",הליכה רגלית בלבד (כ-25 דקות הליכה נינוחה מהדירה באומורי במסלול ישר וברור).,טוקיו - אזור המפרץ (אוֹמוֹרִי),14:00 - 16:00,שעתיים,,חינם,**🚶‍♂️ אין צורך בהזמנה מראש: פארק ציבורי פתוח.**,https://www.city.ota.tokyo.jp/shisetsu/park/omorifurusatonohamabe.html,≈ 25 דקות הליכה (כיוון אחד),https://www.google.com/maps/dir/?api=1&origin=4-26-7+Chuo+Ota+City+Tokyo&destination=Omori+Furusato-no-Hamabe+Park,,,✓ נעלי הליכה
🌃,05 (שבת),17/10/2026,Roppongi,⭐⭐⭐⭐ מומלץ,"6 Chome-10-1 Roppongi, Minato City, Tokyo 106-6108, Japan",🌃 לילה / ☀️ ראות טובה,"מוצאי שבת ברופונגי:
• הבדלה בדירה, ונסיעה מהירה לרובע חיי הלילה של טוקיו מיד עם יציאת השבת (17:45).
[רמת עומס: 🟢 קל].","הליכה לתחנת Omori, קו Keihin-Tohoku לתחנת Ebisu, והחלף לקו Hibiya לתחנת Roppongi.
[יציאה מומלצת: יציאה 1C]",טוקיו - המפרץ/מינאטו,18:30 - 20:00,שעה וחצי,,חינם,**🚶‍♂️ אין צורך בהזמנה מראש: סיור רחוב חופשי.**,https://www.japan-guide.com/e/e3031.html,≈ 40 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=4-26-7+Chuo+Ota+City+Tokyo&destination=Roppongi+Station+Tokyo,,⚠️ שירותים,"✓ ארנק, סלולרי וציוד יומיומי (השבת יצאה)"
🏢,05 (שבת),17/10/2026,Roppongi Hills Mori Tower,⭐⭐⭐⭐ מומלץ,"6 Chome-10-1 Roppongi, Minato City, Tokyo 106-6108, Japan",🌃 לילה / ☀️ ראות טובה,"תצפית פנורמית לילית מקומת הגג של מגדל מורי:
• מבט עוצר נשימה על גורדי השחקים.

💡 Plan B גשם/ערפל:
אם הראות גרועה במיוחד, דלג על התצפית ועבור למשחקי ארקייד מקורים.",הליכה קצרה של 3 דקות ממרכז רופונגי פנימה אל מתחם מגדל רופונגי הילס.,טוקיו - המפרץ/מינאטו,20:00 - 21:30,שעה וחצי,,"45 ₪ (~2,400 ¥)",**🚨 מומלץ להזמין מראש: ב-Klook שבועיים מראש להבטחת שעה ללא תור.**,https://www.klook.com/,≈ 10 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Roppongi+Station+Tokyo&destination=Roppongi+Hills+Mori+Tower,,⚠️ שירותים,✓ שובר Klook בטלפון | ✓ מצלמה
🏠,05 (שבת),17/10/2026,🏠 Casa Central (Tokyo),⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo 143-0024, Japan",הכל (מקורה),"חזרה לדירה למנוחה ושינה רציפה.
• חלון שינה מומלץ החל מ-23:30.",מסלול רכבות הפוך: קו Hibiya לתחנת Ebisu והחלפה לקו Keihin-Tohoku חזרה לתחנת Omori.,טוקיו - אומורי,22:30 - 07:30,לינה,,שולם,**✅ כבר הוזמן (דירת בסיס).**,https://www.booking.com/,≈ 40 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=Roppongi+Hills+Mori+Tower&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ מנוחה
🌳,06 (ראשון),18/10/2026,Yoyogi Park,⭐⭐⭐ אם יש זמן,"2-1 Yoyogikamizonocho, Shibuya City, Tokyo 151-0052, Japan",☀️ שמש / ☁️ מעונן,"פארק יויוגי בבוקר יום ראשון:
• פארק נקי מסמלי דת. מתקבצים כאן רקדני רוקבילי ולהקות רחוב.

[רמת עומס יומית: 🔴 קשה - הליכה מאסיבית].","קו Keihin-Tohoku מתחנת Omori לשינגאווה, והחלפה לקו 🟢 JR Yamanote לתחנת Harajuku.
[יציאה מומלצת: West Exit]",טוקיו - צפון/מערב,08:30 - 09:30,שעה,,חינם,**🚶‍♂️ אין צורך להזמין מראש: הפארק פתוח לציבור.**,https://www.tokyo-park.or.jp/park/yoyogi/,≈ 45 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=4-26-7+Chuo+Ota+City+Tokyo&destination=2-1+Yoyogikamizonocho+Shibuya+City+Tokyo,,,✓ נעלי הליכה איכותיות (יום הליכה קשוח!)
