אייקון,יום,תאריך,שם המקום,קטגוריות לסינון,עדיפות,מיקום במפה,מזג אוויר אידיאלי,תיאור ומה ניתן לעשות,תחבורה והגעה ליעד,אזור במסלול,טווח שעות מומלץ,זמן מוערך,ימי סגירה / הערות חשובות,עלות משוערת (₪ ו-¥),איך ומתי להזמין,קישור,משך נסיעה מהיעד הקודם,ניווט גוגל מפות (מהיעד הקודם),סיכון,מתקנים ודרישות,מה צריך להכין מראש,פתרון תזונה יומי,שילוב חלבון,רמת עומס מובנית,תזכורת / פעולה נדרשת,Plan B — גשם/סגירה/מלא,Ziploc/T-Shirt Bag — שימוש מומלץ,תקציב קניות אופציונלי (₪),סטטוס QA
🚠,ביווה (חלופה),21-22/10,Biwako Terrace / Biwako Valley,אטרקציה | נוף טבעי | תצפית,⭐⭐⭐ אם יש זמן,"Otsu, Shiga",☀️ שמש (ראות טובה),"מתחם ביוואקו טראס:
• תצפית אדריכלית מפסגת ההר (עלייה ברכבל) המשקיפה על אגם ביווה (נקי מסמלי דת).","רכבת מקומית (JR Kosei) מקיוטו לתחנת Shiga Station, ואוטובוס קצר (קו 68) לרכבל.",אגם ביווה,10:00 - 13:00,3 שעות,,"90 ₪ (~4,800 ¥)",**🚶‍♂️ תשלום במקום: קניית כרטיס בקופות הרכבל.**,https://www.biwako-valley.com/en/,≈ 45 דקות מקיוטו,https://www.google.com/maps/dir/?api=1&origin=Shiga+Station&destination=Biwako+Valley,נמוך,⚠️ שירותים,✓ סוודר/מעיל (הפסגה גבוהה וקרה),בית קפה בפסגה או אוכל מהתיק.,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,אם יש רוחות הרכבל מושבת - בדוק מצלמת רשת בבוקר.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🌸,קיוטו (חלופה),23-25/10,Philosopher's Path,פארק וטבע | מסלול הליכה,⭐⭐⭐ אם יש זמן,"Sakyo Ward, Kyoto",☀️ שמש / ☁️ מעונן,"שביל הפילוסופים:
• מסלול הליכה פסטורלי לאורך תעלה עתיקה. (חילוני לחלוטין וללא כניסה למבני דת). מושלם להתנתקות בשבת בצהריים.",הליכה רגלית לאורך נתיב השביל במזרח קיוטו.,קיוטו - מזרח,14:00 - 16:00,שעתיים,,חינם,**🚶‍♂️ אין צורך להזמין מראש.**,https://www.japan-guide.com/e/e3906.html,≈ לפי מיקום עדכני,https://www.google.com/maps/dir/?api=1&origin=Nanzen-ji+Temple&destination=Philosopher's+Path,נמוך,⚠️ שירותים,✓ נעלי הליכה נוחות,אוכל מוכן מראש לשבת.,חטיף חלבון בתיק.,🟢 קל,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית.,קיצור המסלול ומעבר למקורה.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🛶,קיוטו (חלופה),23-25/10,Hozugawa River Boat Ride,אטרקציה | שייט | נוף טבעי,⭐⭐⭐ אם יש זמן,"Kameoka, Kyoto",☀️ שמש / ☁️ מעונן,"שייט קמאוקה-אראשייאמה:
• סירות עץ מסורתיות ויורדים באשדות נהר ההוזו הגועש.","רכבת JR Sagano מתחנת קיוטו לתחנת Kameoka, והליכה למזח.",קיוטו - הרים,10:00 - 12:00,שעתיים שייט,,"120 ₪ (~6,450 ¥)",**🚨 חובה להזמין מראש דרך Klook כ-1-2 שבועות מראש (במיוחד בעונת השלכת).**,https://www.klook.com/,≈ 35 דקות ברכבת,https://www.google.com/maps/dir/?api=1&origin=Kameoka+Station+Kyoto&destination=Hozugawa+River+Boat+Ride,🚨 גשם ⭐⭐⭐⭐⭐,⚠️ שירותים,✓ בגדים שניתן להרטיב | ✓ מצלמה עם הגנה למים,סירת חטיפים שטה לקראת סוף המסלול.,חטיף חלבון בתיק.,🟡 בינוני,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,"השייט מבוטל בטיחותית, הגיבוי הוא נסיעה רגילה ברכבת.",חובה לאטום את הפלאפון והארנק בזיפלוק למניעת הירטבות מהשפריצים של הנהר!,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🚂,קיוטו (חלופה),23-25/10,Kyoto Railway Museum,מוזיאון | רכבות וטכנולוגיה,⭐⭐⭐⭐ מומלץ,"Shimogyo Ward, Kyoto",הכל (מקורה),"מוזיאון הרכבות:
• מציג את התפתחות רכבות השינקנסן, סימולטורים ורובוטיקה (חילוני לחלוטין).","הליכה מתונה מתחנת קיוטו המרכזית או אוטובוס.
[יציאה מומלצת: תחנת JR Umekoji-Kyotonishi]",קיוטו - מרכז,10:00 - 13:00,3 שעות,לבדוק ימי תחזוקה,"35 ₪ (~1,900 ¥)",**💡 מומלץ להזמין מראש ב-Klook לחיסכון בתור.**,https://www.kyotorailwaymuseum.jp/en/,≈ 15 דקות הליכה/אוטובוס מהתחנה,https://www.google.com/maps/dir/?api=1&origin=Kyoto+Station&destination=Kyoto+Railway+Museum,נמוך,⚠️ שירותים,✓ סקרנות טכנולוגית,קפטריה במוזיאון.,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,יעד מקורה מושלם.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
⚔️,קיוטו (חלופה),23-25/10,Samurai Kenbu Theater,אטרקציה | תרבות מורשת ומופע,⭐⭐⭐⭐ מומלץ,"Sanjo, Kyoto",הכל (מקורה),"מופע סמוראים מסורתי ואותנטי הכולל שימוש בחרבות קטאנה, ריקודים ואפקטים חזותיים מרשימים.",הליכה קצרה מתחנת Sanjo או Sanjo Keihan.,קיוטו - מרכז/מזרח,17:00 - 19:00,שעה-שעתיים,לבדוק שעות מופעים מדויקות,"כ-80 ₪ (~3,000 ¥)",**🚨 חובה להזמין כרטיסים מראש.**,https://www.samurai-kenbu.jp/,≈ לפי מיקום,https://www.google.com/maps/search/?api=1&query=Samurai+Kenbu+Theater+Kyoto,נמוך,⚠️ שירותים,✓ מצלמה,מסעדות בסביבת סנג'ו.,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,מקורה וחסין גשם.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🏯,אוסקה (חלופה),25-28/10,Osaka Castle Park,פארק וטבע | היסטוריה ומורשת,⭐⭐⭐ אם יש זמן,"Chuo Ward, Osaka",☀️ שמש / ☁️ מעונן,"פארק טירת אוסקה:
• מרחבי דשא וחומות אבן אדירות (חילוני לחלוטין, ללא מחסומים אלקטרוניים).","תחתית Tanimachi לתחנת Tanimachi 4-chome.
[יציאה מומלצת: יציאה 1-B]",אוסקה - מרכז,10:00 - 12:00,שעתיים,,חינם (לפארק),**🚶‍♂️ כניסה פתוחה לפארק הציבורי.**,https://www.japan-guide.com/e/e4000.html,≈ לפי מיקום עדכני,https://www.google.com/maps/dir/?api=1&origin=Tanimachi+4-chome+Station&destination=Osaka+Castle+Park,נמוך,⚠️ שירותים,✓ נעלי הליכה | ✓ כובע,חטיפים או קומביני סמוך.,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,דלג ועבור למתחם מקורה (כגון אקווריום).,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; מתקנים: הונח 'שירותים'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🦈,אוסקה (חלופה),25-28/10,Osaka Aquarium Kaiyukan,אטרקציה | אקווריום וטבע,⭐⭐⭐ אם יש זמן,"Minato Ward, Osaka",הכל (מקורה),"אקווריום קאיוקאן:
• כרישי לוויתן במיכל עצום.","קו 🔵 Chuo Line מערבה לתחנת Osakako.
[יציאה מומלצת: יציאה 1]",אוסקה - מפרץ,13:00 - 15:30,שעתיים וחצי,,"70 ₪ (~3,800 ¥)",**🚨 מומלץ להזמין ב-Klook יום-יומיים מראש (חוסך תור בקופה; אין צורך בהרבה זמן מראש).**,https://www.klook.com/,≈ לפי מיקום עדכני,https://www.google.com/maps/dir/?api=1&origin=Osakako+Station&destination=Osaka+Aquarium+Kaiyukan,נמוך,⚠️ שירותים,✓ סוללה טעונה,מסעדות במתחם Tempozan הסמוך.,חטיף חלבון בתיק.,🟡 בינוני,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית.,"מקום סגור, ממוזג ומושלם ליום גשום.",לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🐠,אוסקה (חלופה),25-28/10,NIFREL,אטרקציה | אקווריום וטבע / מוזיאון,⭐⭐⭐ אם יש זמן,"Expocity, Suita, Osaka",הכל (מקורה),"מוזיאון חי אינטראקטיבי ייחודי המנוהל ע""י האקווריום קאיוקאן. משלב בצורה חדשנית בין אקווריום, גן חיות ומוזיאון אמנות דיגיטלית סביבתית.",מונורייל (Osaka Monorail) לתחנת Bampaku-kinen-koen.,אוסקה - צפון (סואיטה),10:00 - 13:00,שעתיים וחצי,ממוקם סמוך למתחם אקספוסיטי (Expocity),"כ-55 ₪ (~2,200 ¥)",**🚶‍♂️ ניתן לשלם בקופה או להזמין מראש.**,https://www.nifrel.jp/en/,≈ 45 דקות ממרכז אוסקה,https://www.google.com/maps/search/?api=1&query=NIFREL+Osaka,נמוך,⚠️ שירותים,✓ מצלמה,מתחם האוכל הענק של Expocity צמוד אליך.,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,מקורה לחלוטין בתוך מתחם Expocity.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🎮,אוסקה (חלופה),25-28/10,Round One Stadium (Spo-Cha),אטרקציה | גיימינג וספורט מקורה,⭐⭐⭐⭐ מומלץ,"Namba, Osaka",הכל (מקורה),"מתחם ה-Spo-Cha (Round One):
• תשלום חד-פעמי לזמן לגישה חופשית למאות מכונות גיימינג וספורט ללא אסימונים.",הליכה קצרה מדוטונבורי או תחנת Namba.,אוסקה - נאמבה,14:00 - 17:00,3 שעות,,"75 ₪ (~4,000 ¥)",**🚶‍♂️ תשלום במכונות הקבלה במקום.**,https://www.round1.co.jp/,≈ 10 דקות הליכה מנאמבה,https://www.google.com/maps/dir/?api=1&origin=Namba+Station+Osaka&destination=Round+One+Stadium+Sennichimae,נמוך,⚠️ שירותים,✓ נעליים וביגוד ספורטיבי נוח,אוכל ושתייה נמכרים במתחם.,חטיף חלבון לאחר המאמץ הפיזי.,🔴 גבוה,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,מקורה ומושלם כגיבוי.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🛍️,אוסקה (חלופה),25-28/10,Rinku Premium Outlets,קניות | אאוטלט ואופנה,⭐⭐⭐ אם יש זמן,"Izumisano, Osaka",☀️ שמש / ☁️ מעונן,"אאוטלט יוקרתי וענק ליד שדה התעופה קנסאי (KIX).
• מעולה להשלמות ביגוד במחירים זולים.","רכבת Nankai Airport מתחנת Namba לתחנת Rinku Town.
[יציאה מומלצת: Main Exit]",אוסקה - דרום (שדה),10:00 - 14:00,4 שעות,,"כ-370 ₪ (~20,000 ¥)",**🚶‍♂️ הצג דרכון בכניסה לפטור ממס.**,https://www.premiumoutlets.co.jp/en/rinku/,≈ 45 דקות מנאמבה ברכבת,https://www.google.com/maps/dir/?api=1&origin=Namba+Station+Osaka&destination=Rinku+Premium+Outlets,נמוך,⚠️ שירותים,✓ דרכון פיזי,פוד קורט עשיר במקום.,חטיף חלבון בתיק.,🟡 בינוני,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,"חלק מהמתחם פתוח, כדאי להצטייד במטרייה.",לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🌎,אוסקה (חלופה),25-28/10,Universal Studios Japan (USJ),אטרקציה | פארק שעשועים,⭐⭐⭐⭐⭐ חובה,"Konohana Ward, Osaka",☀️ שמש / ☁️ מעונן,"פארק השעשועים (USJ):
• עולמות נינטנדו (AR), הארי פוטר ורכבות הרים.",רכבת JR Yumesaki מתחנת Nishikujo לתחנת Universal City.,אוסקה - מפרץ,08:30 - 20:00,יום שלם,,"230 ₪ (~12,400 ¥)",**🚨 חובה להזמין ב-Klook כחודשיים-שלושה מראש (במיוחד Express Pass לעקיפת תורים - אוזל ראשון)!**,https://www.klook.com/,≈ 35 דקות ברכבת מנאמבה,https://www.google.com/maps/dir/?api=1&origin=Namba+Station+Osaka&destination=Universal+Studios+Japan,🚨 עומס כבד ⭐⭐⭐⭐⭐,⚠️ שירותים,✓ כיסים נסגרים לאקסטרים | ✓ פאוץ' קטן ונוח | ✓ נעלי הליכה חזקות,מסעדות נושא ברחבי הפארק.,חטיפי חלבון בתיק להחזרת אנרגיה.,🔴 גבוה,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,חלק מהמתקנים החיצוניים נסגרים.,חובה לארוז נייד ודרכון בזיפלוק לפני עלייה למתקני המים בפארק (כמו מלתעות)!,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🦖,קובה (חלופה),גיחה מאוסקה,Nijigen no Mori (Godzilla Zipline),אטרקציה | פארק שעשועים | אקסטרים,⭐⭐⭐⭐ מומלץ,"Awaji Island, Hyogo",☀️ שמש / ☁️ מעונן,"פארק האנימה ניג'יגן נו מורי:
• אומגת אקסטרים (Zip-line) היישר לתוך לוע של גודזילה!",אוטובוס מהיר (Highway Bus) מ-Umeda/Namba ישירות לפארק.,האי אוואג'י / קובה,10:00 - 15:00,חצי יום,,"100 ₪ (אומגה) (~5,400 ¥)",**🚨 חובה להזמין כרטיס אומגה מראש דרך Klook כ-2-3 שבועות מראש (מספר מקומות מוגבל ליום).**,https://www.klook.com/,≈ שעה וחצי אוטובוס,https://www.google.com/maps/dir/?api=1&origin=Osaka+Station&destination=Nijigen+no+Mori,נמוך,⚠️ שירותים,✓ נעליים סגורות לחלוטין | ✓ בגדים ללא פריטים מתעופפים,אוכל נושא מיוחד בפארק.,חטיף חלבון בתיק.,🔴 גבוה,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,הפארק פתוח ויש מתקנים שעלולים להיסגר.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🚠,קובה (חלופה),גיחה מאוסקה,Kobe Nunobiki Herb Gardens & Ropeway,אטרקציה | רכבל | פארק וטבע,⭐⭐⭐ אם יש זמן,"Kobe, Hyogo",☀️ שמש (ראות טובה),"הרכבל של קובה:
• תצפית על המפרץ, וירידה רגלית בין גני תבלינים ומפלי מים.",הליכה קצרה מתחנת הרכבת Shin-Kobe אל תחנת הרכבל.,קובה - צפון,09:30 - 12:30,3 שעות,,"50 ₪ (~2,700 ¥)",**🚶‍♂️ תשלום במקום: בקופות הרכבל.**,https://www.japan-guide.com/e/e3563.html,≈ לפי מיקום עדכני,https://www.google.com/maps/dir/?api=1&origin=Shin-Kobe+Station&destination=Kobe+Nunobiki+Ropeway,נמוך,⚠️ שירותים,✓ נעלי הליכה (הירידה במורד ההר),בית קפה עם נוף בפסגה.,חטיף חלבון בתיק.,🟡 בינוני,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,"הרכבל עלול להיסגר, הירידה הרגלית מסוכנת בחלקה.",לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
♨️,קובה (חלופה),גיחה מאוסקה,Arima Onsen,ספא ומרחצאות | טבע ומורשת,⭐⭐⭐⭐ מומלץ,"Kita Ward, Kobe, Hyogo",☀️ שמש / ☁️ מעונן / ימי חורף קרים,"עיירת מעיינות חמים עתיקה וידועה ביפן, מוקפת הרים. כוללת את המעיינות המפורסמים ""מים זהובים"" ו""מים כסופים"".",רכבת או אוטובוס ישיר מאוסקה (Umeda) או מתחנת סאנומיה (Kobe).,הרי קובה,10:00 - 16:00,חצי יום לפחות,רוב המרחצאות הציבוריים אוסרים כניסה עם קעקועים,"כ-60 ₪ (~2,400 ¥)",**🚶‍♂️ כניסה למרחצאות על בסיס מקום פנוי.**,https://www.japan-guide.com/e/e3558.html,≈ כשעה מאוסקה / 40 דקות מקובה,https://www.google.com/maps/search/?api=1&query=Arima+Onsen,נמוך,⚠️ שירותים | ⚠️ לוקרים,✓ מגבת קטנה | ✓ כיסוי קעקועים (אם יש),דוכני רחוב וביסקוויטים יפניים מסורתיים בעיירה.,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,המרחצאות עצמם מקורים ומושלמים לגשם.,ארוז את הבגדים הרטובים והמגבת בשקית זיפלוק בסיום הרחצה.,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🏍️,קובה (חלופה),גיחה מאוסקה,Kawasaki Good Times World,מוזיאון | טכנולוגיה ותחבורה,⭐⭐⭐ אם יש זמן,"Kobe, Hyogo",הכל (מקורה),"מוזיאון הטכנולוגיה קוואסאקי:
• מציג מסוקי קרב, מנועי סילון וסימולטורים של אופנועים.",הליכה מתחנת JR Motomachi לכיוון הנמל.,קובה - נמל,14:00 - 16:00,שעתיים,,16 ₪ (~860 ¥),**🚶‍♂️ תשלום במקום: בקופות המוזיאון.**,https://www.khi.co.jp/kawasakiworld/english/,≈ לפי מיקום עדכני,https://www.google.com/maps/dir/?api=1&origin=Motomachi+Station+Kobe&destination=Kawasaki+Good+Times+World,נמוך,⚠️ שירותים,✓ התעניינות ברובוטיקה וסילון,אכילה באזור קובה או Harborland הסמוך.,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,מקורה לחלוטין.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🎡,קובה (חלופה),גיחה מאוסקה,Kobe Harborland & Nankin-machi,אטרקציה | טיילת | חיי לילה,⭐⭐⭐ אם יש זמן,"Kobe, Hyogo",🌃 לילה / שקיעה,"הנמל של קובה (Harborland) וצ'יינה-טאון:
• צפייה בשקיעה מול מגדל פורט טאואר, והליכה לסיור ערב ברובע צ'יינה-טאון התוסס (חילוני).",הליכה רגלית נוחה לאורך הטיילת.,קובה - מרכז,17:30 - 20:00,שעתיים וחצי,,חינם (ללא אוכל),**🚶‍♂️ אין צורך להזמין מראש.**,https://www.japan-guide.com/e/e3552.html,≈ לפי מיקום עדכני,https://www.google.com/maps/dir/?api=1&origin=Kawasaki+Good+Times+World&destination=Kobe+Harborland,נמוך,⚠️ שירותים,✓ מזומן דק לאוכל רחוב,אוכל רחוב סיני מעולה ב-Nankin-machi.,חטיף חלבון בתיק.,🟢 קל,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית.,כניסה לקניון Umie המקורה שבנמל.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🤖,קובה (חלופה),גיחה מאוסקה,Tetsujin 28-go Monument (Wakamatsu Park),אטרקציה | מונומנט ותרבות פופ,⭐⭐⭐ אם יש זמן,"Kobe, Hyogo",☀️ שמש / ☁️ מעונן,"פסל הרובוט Tetsujin 28-go:
• אנדרטת מתכת עצומה של רובוט מירוץ ואנימה בגובה 18 מטרים! פתוח בחינם.","הליכה קצרה מתחנת הרכבת Shin-Nagata.
[יציאה מומלצת: West Exit]",קובה - מערב,10:00 - 10:30,חצי שעה,,חינם,**🚶‍♂️ הפארק פתוח ציבורית.**,https://www.feel-kobe.jp/en/facilities/detail/?code=0000000030,≈ לפי מיקום עדכני,https://www.google.com/maps/dir/?api=1&origin=Shin-Nagata+Station&destination=Tetsujin+28-go+Monument,נמוך,⚠️ שירותים,✓ מצלמה מזווית נמוכה לצילום הרובוט,מסעדות וקומביני בסביבת התחנה.,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,עצירה קצרה בלבד לצילום.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; מתקנים: הונח 'שירותים'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
